	0	90k_Plus
Pericyte.bed	207808	True
SN_GATA3-PVALB_GABA.bed	35303	False
LAMP5-CXCL14_GABA.bed	343235	True
VIP_GABA.bed	343238	True
STRd_D2_Striosome_MSN.bed	350662	True
ZI-HTH_GABA.bed	327280	True
STR_LYPD6-RSPO2_GABA.bed	343224	True
Oligo_OPALIN.bed	218120	True
VTR-HTH_Glut.bed	322045	True
STR_FS_PTHLH-PVALB_GABA.bed	366746	True
Endo.bed	197227	True
SMC.bed	164969	True
SN_SEMA5A_GABA.bed	159026	True
STR_D1D2_Hybrid_MSN.bed	349422	True
VLMC.bed	275618	True
SN-VTR-HTH_GATA3-TCF7L2_GABA.bed	329699	True
SN_SOX6_Dopa.bed	167289	True
GPe_SOX6-CTXND1_GABA.bed	401013	True
STR-BF_TAC3-PLPP4-LHX8_GABA.bed	380114	True
STRd_D2_StrioMat_Hybrid_MSN.bed	361409	True
GPi_Core.bed	339389	True
LAMP5-LHX6_GABA.bed	326269	True
OPC.bed	259735	True
STRv_D1_NUDAP_MSN.bed	350574	True
STRv_D2_MSN.bed	348034	True
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.bed	380516	True
STH_PVALB-PITX2_Glut.bed	241692	True
STR_Cholinergic_GABA.bed	160501	True
STRd_Cholinergic_GABA.bed	205932	True
SN-VTR_GAD2_Dopa.bed	63555	False
BACKGROUND_abc.merged.bed	2083736	True
STRd_D2_Matrix_MSN.bed	348116	True
GPi_Shell.bed	177916	True
STRv_D1_MSN.bed	351399	True
STRd_D1_Striosome_MSN.bed	351962	True
AMY-SLEA-BNST_GABA.bed	366453	True
STR_TAC3-PLPP4_GABA.bed	369700	True
SN-VTR_CALB1_Dopa.bed	48831	False
OT_D1_ICj.bed	337575	True
STR_SST-RSPO2_GABA.bed	338709	True
GPe_MEIS2-SOX6_GABA.bed	384248	True
SN_EBF2_GABA.bed	192330	True
BF_SKOR1_Glut.bed	359535	True
Oligo_PLEKHG1.bed	270962	True
STRd_D1_Matrix_MSN.bed	351567	True
