	0	90k_Plus
STR_SST-CHODL_GABA.bed	380926	True
CN_GABA-Glut.bed	177916	True
F_Glut.bed	369848	True
Pericyte.bed	207808	True
STR_D1_MSN.bed	388562	True
F_GABA.bed	394228	True
Lymphocyte.bed	175487	True
CN_VIP_GABA.bed	343238	True
Endo.bed	197227	True
SMC.bed	164969	True
M_Dopa.bed	189160	True
VLMC.bed	275618	True
CN_LAMP5-CXCL14_GABA.bed	343235	True
Astrocyte.bed	365887	True
OT_Granular_GABA.bed	337575	True
CN_ST18_GABA.bed	431062	True
OPC.bed	259735	True
CN_LAMP5-LHX6_GABA.bed	326269	True
CN_LHX8_GABA.bed	435653	True
STR_Hybrid_MSN.bed	377502	True
STR_RSPO2_GABA.bed	374955	True
Microglia.bed	222383	True
BACKGROUND_abc.merged.bed	2006177	True
F_M_GATA3_GABA.bed	329709	True
Oligodendrocyte.bed	357156	True
CN_Cholinergic_GABA.bed	320945	True
STR_D2_MSN.bed	400758	True
CN_ONECUT1_GABA.bed	339389	True
SN_PAX7_GABA.bed	252401	True
CN_MEIS2_GABA.bed	384248	True
F_M_Glut.bed	322045	True
