	0	90k_Plus
Glut.hyper.dmr.bed	161	False
ACx_MEIS2_GABA.hyper.dmr.bed	0	False
Astrocyte.hyper.dmr.bed	26938	False
CN_ST18_GABA.hyper.dmr.bed	448	False
OPC.hyper.dmr.bed	2191	False
Pericyte.hyper.dmr.bed	1787	False
CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	236	False
CN_MEIS2_GABA.hyper.dmr.bed	76	False
CN_VIP_GABA.hyper.dmr.bed	97	False
STR_Hybrid_MSN.hyper.dmr.bed	332	False
STR_D1_MSN.hyper.dmr.bed	1283	False
CN_LHX8_GABA.hyper.dmr.bed	65	False
F_GABA.hyper.dmr.bed	17	False
Oligodendrocyte.hyper.dmr.bed	45595	False
F_M_GATA3_GABA.hyper.dmr.bed	2141	False
Microglia.hyper.dmr.bed	28615	False
Endo.hyper.dmr.bed	2712	False
Lymphocyte.hyper.dmr.bed	696	False
STR_D2_MSN.hyper.dmr.bed	673	False
VLMC.hyper.dmr.bed	1631	False
STR_SST-CHODL_GABA.hyper.dmr.bed	38	False
F_M_Glut.hyper.dmr.bed	33	False
CN_Cholinergic_GABA.hyper.dmr.bed	20	False
CN_ONECUT1_GABA.hyper.dmr.bed	38	False
SMC.hyper.dmr.bed	9	False
F_Glut.hyper.dmr.bed	213	False
M_Dopa.hyper.dmr.bed	37	False
CN_LAMP5-LHX6_GABA.hyper.dmr.bed	1	False
OT_Granular_GABA.hyper.dmr.bed	50	False
SN_PAX7_GABA.hyper.dmr.bed	13	False
CN_GABA-Glut.hyper.dmr.bed	1	False
STR_RSPO2_GABA.hyper.dmr.bed	36	False
