	0	90k_Plus
STR_D1_MSN.hypo.dmr.bed	5832	False
Endo.hypo.dmr.bed	44539	False
CN_GABA-Glut.hypo.dmr.bed	153	False
F_M_GATA3_GABA.hypo.dmr.bed	34690	False
ACx_MEIS2_GABA.hypo.dmr.bed	228	False
OT_Granular_GABA.hypo.dmr.bed	1043	False
BACKGROUND_noGlut.merged.bed	585699	True
F_M_Glut.hypo.dmr.bed	109	False
SMC.hypo.dmr.bed	573	False
STR_Hybrid_MSN.hypo.dmr.bed	23729	False
CN_LHX8_GABA.hypo.dmr.bed	201	False
CN_Cholinergic_GABA.hypo.dmr.bed	266	False
CN_LAMP5-LHX6_GABA.hypo.dmr.bed	277	False
CN_ONECUT1_GABA.hypo.dmr.bed	390	False
Microglia.hypo.dmr.bed	102214	True
Oligodendrocyte.hypo.dmr.bed	177079	True
F_Glut.hypo.dmr.bed	863	False
CN_MEIS2_GABA.hypo.dmr.bed	721	False
F_GABA.hypo.dmr.bed	89	False
CN_LAMP5-CXCL14_GABA.hypo.dmr.bed	1539	False
STR_RSPO2_GABA.hypo.dmr.bed	271	False
OPC.hypo.dmr.bed	29310	False
M_Dopa.hypo.dmr.bed	460	False
VLMC.hypo.dmr.bed	34941	False
Pericyte.hypo.dmr.bed	29605	False
CN_ST18_GABA.hypo.dmr.bed	4818	False
STR_D2_MSN.hypo.dmr.bed	7435	False
SN_PAX7_GABA.hypo.dmr.bed	123	False
Astrocyte.hypo.dmr.bed	67787	False
STR_SST-CHODL_GABA.hypo.dmr.bed	1232	False
Lymphocyte.hypo.dmr.bed	5313	False
Glut.hypo.dmr.bed	22653	False
CN_VIP_GABA.hypo.dmr.bed	1085	False
