	0	90k_Plus
SN-VTR-HTH_GATA3-TCF7L2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	318589	True
STRd_D2_Striosome_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	126083	True
Astrocyte-2.hyper.dmr.full.tsv.hyper.dmr.bed	62105	False
SN_SEMA5A_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	1854	False
BF_SKOR1_Glut.hyper.dmr.full.tsv.hyper.dmr.bed	82312	False
STH_PVALB-PITX2_Glut.hyper.dmr.full.tsv.hyper.dmr.bed	108116	True
Oligo_PLEKHG1.hyper.dmr.full.tsv.hyper.dmr.bed	134879	True
STRv_D1_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	193597	True
STRd_D2_Matrix_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	242565	True
Astrocyte-3.hyper.dmr.full.tsv.hyper.dmr.bed	100791	True
Astrocyte-4.hyper.dmr.full.tsv.hyper.dmr.bed	44143	False
F_M_GATA3_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	82594	False
STRd_D2_StrioMat_Hybrid_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	141461	True
STR_Cholinergic_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	21766	False
SN_GATA3-PVALB_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	20220	False
SN-VTR_CALB1_Dopa.hyper.dmr.full.tsv.hyper.dmr.bed	25343	False
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	11951	False
Oligo_OPALIN.hyper.dmr.full.tsv.hyper.dmr.bed	75556	False
F_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	4378	False
STR_SST-CHODL_NRP2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	152585	True
GPin-BF_Cholinergic_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	773	False
STRv_D2_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	403938	True
STR_LYPD6-RSPO2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	4338	False
STR_FS_PTHLH-PVALB_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	169751	True
STRd_D1_Striosome_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	32902	False
STRv_D1_NUDAP_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	145750	True
ZI-HTH_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	96728	True
STR-BF_TAC3-PLPP4-LHX8_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	27484	False
Microglia-3.hyper.dmr.full.tsv.hyper.dmr.bed	3394	False
STR_SST-RSPO2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	14044	False
STR_SST-CHODL_GRIN2A_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	2665	False
SN-VTR_GAD2_Dopa.hyper.dmr.full.tsv.hyper.dmr.bed	28987	False
SN_SOX6_Dopa.hyper.dmr.full.tsv.hyper.dmr.bed	2998	False
Microglia-2.hyper.dmr.full.tsv.hyper.dmr.bed	395926	True
STR_D1D2_Hybrid_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	25932	False
Astrocyte-1.hyper.dmr.full.tsv.hyper.dmr.bed	114832	True
STRd_D1_Matrix_MSN.hyper.dmr.full.tsv.hyper.dmr.bed	105140	True
SN_EBF2_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	14129	False
STR_SST-CHODL_RORA_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	27918	False
GPe_SOX6-CTXND1_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	556	False
STRd_Cholinergic_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	2023	False
STR_TAC3-PLPP4_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	178436	True
AMY-SLEA-BNST_GABA.hyper.dmr.full.tsv.hyper.dmr.bed	42858	False
Microglia-1.hyper.dmr.full.tsv.hyper.dmr.bed	45586	False
