	0	90k_Plus
STR_SST-RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	4338	False
STR-BF_TAC3-PLPP4-LHX8_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	26342	False
F_M_GATA3_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	422609	True
SN-VTR_CALB1_Dopa.hypo.dmr.full.tsv.hypo.dmr.bed	26528	False
STRd_D2_Striosome_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	166605	True
Microglia-2.hypo.dmr.full.tsv.hypo.dmr.bed	95279	True
STR_TAC3-PLPP4_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	230144	True
STR_D1D2_Hybrid_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	145750	True
BF_SKOR1_Glut.hypo.dmr.full.tsv.hypo.dmr.bed	108116	True
STR_SST-CHODL_NRP2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	29406	False
STRd_Cholinergic_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	20499	False
STR_Cholinergic_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	2498	False
STRv_D2_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	114578	True
STRv_D1_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	70518	False
STR_LYPD6-RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	14047	False
Oligo_PLEKHG1.hypo.dmr.full.tsv.hypo.dmr.bed	75556	False
SN_GATA3-PVALB_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	35478	False
STRv_D1_NUDAP_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	25932	False
STR_FS_PTHLH-PVALB_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	240513	True
Astrocyte-1.hypo.dmr.full.tsv.hypo.dmr.bed	119969	True
SN_SEMA5A_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	14129	False
SN_EBF2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	1854	False
Astrocyte-4.hypo.dmr.full.tsv.hypo.dmr.bed	51720	False
SN_SOX6_Dopa.hypo.dmr.full.tsv.hypo.dmr.bed	4895	False
STRd_D1_Striosome_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	115959	True
SN-VTR-HTH_GATA3-TCF7L2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	62884	False
STRd_D2_StrioMat_Hybrid_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	328008	True
STR_SST-CHODL_RORA_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	150278	True
SN-VTR_GAD2_Dopa.hypo.dmr.full.tsv.hypo.dmr.bed	27120	False
AMY-SLEA-BNST_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	94186	True
ZI-HTH_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	35565	False
Astrocyte-2.hypo.dmr.full.tsv.hypo.dmr.bed	85160	False
Microglia-1.hypo.dmr.full.tsv.hypo.dmr.bed	243976	True
Microglia-3.hypo.dmr.full.tsv.hypo.dmr.bed	43063	False
STRd_D1_Matrix_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	134573	True
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	556	False
GPin-BF_Cholinergic_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	1711	False
STH_PVALB-PITX2_Glut.hypo.dmr.full.tsv.hypo.dmr.bed	82312	False
F_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	35266	False
Astrocyte-3.hypo.dmr.full.tsv.hypo.dmr.bed	150347	True
STR_SST-CHODL_GRIN2A_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	8106	False
GPe_SOX6-CTXND1_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	11951	False
Oligo_OPALIN.hypo.dmr.full.tsv.hypo.dmr.bed	134879	True
STRd_D2_Matrix_MSN.hypo.dmr.full.tsv.hypo.dmr.bed	189436	True
