	0	90k_Plus
Astrocyte-3.loops.bed	3443394	True
SN_SEMA5A_GABA.loops.bed	4466937	True
STR-BF_TAC3-PLPP4-LHX8_GABA.loops.bed	4427705	True
Astrocyte-2.loops.bed	2095627	True
LAMP5-LHX6_GABA.loops.bed	4170207	True
ZI-HTH_GABA.loops.bed	4590014	True
STR_SST-CHODL_GRIN2A_GABA.loops.bed	2757016	True
LAMP5-CXCL14_GABA.loops.bed	3727645	True
SMC.loops.bed	1297054	True
STRv_D2_MSN.loops.bed	4039487	True
STH_PVALB-PITX2_Glut.loops.bed	4806055	True
SN_SOX6_Dopa.loops.bed	4210688	True
SN_GATA3-PVALB_GABA.loops.bed	5767108	True
VIP_GABA.loops.bed	3108230	True
GPe-NDB-SI_LHX6-LHX8-GBX1_GABA.loops.bed	5502866	True
SN-VTR_CALB1_Dopa.loops.bed	5543257	True
Endo.loops.bed	2753207	True
F_M_GATA3_GABA.loops.bed	4493296	True
STRd_D1_Striosome_MSN.loops.bed	3965335	True
STRd_D1_Matrix_MSN.loops.bed	3359727	True
Pericyte.loops.bed	3337180	True
STRv_D1_NUDAP_MSN.loops.bed	3555976	True
STR_SST-CHODL_RORA_GABA.loops.bed	5007795	True
STR_LYPD6-RSPO2_GABA.loops.bed	3520175	True
STRd_D2_Matrix_MSN.loops.bed	2951700	True
F_GABA.loops.bed	4439990	True
Astrocyte-1.loops.bed	2971986	True
STR_SST-CHODL_NRP2_GABA.loops.bed	5732128	True
Oligo_OPALIN.loops.bed	2889647	True
Microglia-2.loops.bed	2121044	True
Oligo_PLEKHG1.loops.bed	3464549	True
STR_FS_PTHLH-PVALB_GABA.loops.bed	3945977	True
OT_D1_ICj.loops.bed	4127357	True
STRd_D2_Striosome_MSN.loops.bed	3541466	True
STR_Cholinergic_GABA.loops.bed	4415636	True
Microglia-1.loops.bed	2942426	True
AMY-SLEA-BNST_GABA.loops.bed	4637508	True
STRd_Cholinergic_GABA.loops.bed	3783258	True
VTR-HTH_Glut.loops.bed	4424572	True
VLMC.loops.bed	2723114	True
GPi_Shell.loops.bed	4090215	True
STR_TAC3-PLPP4_GABA.loops.bed	3873874	True
GPin-BF_Cholinergic_GABA.loops.bed	1014226	True
STR_D1D2_Hybrid_MSN.loops.bed	3486734	True
STR_SST-RSPO2_GABA.loops.bed	3667704	True
GPi_Core.loops.bed	5408457	True
SN_EBF2_GABA.loops.bed	5769522	True
Lymphocyte.loops.bed	1568394	True
GPe_MEIS2-SOX6_GABA.loops.bed	4903039	True
SN-VTR_GAD2_Dopa.loops.bed	4869272	True
Glut.loops.bed	3509287	True
SN-VTR-HTH_GATA3-TCF7L2_GABA.loops.bed	4364640	True
Astrocyte-4.loops.bed	3157025	True
OPC.loops.bed	3228374	True
STRv_D1_MSN.loops.bed	4012579	True
BACKGROUND.merged.bed	9180650	True
GPe_SOX6-CTXND1_GABA.loops.bed	4563522	True
STRd_D2_StrioMat_Hybrid_MSN.loops.bed	4203431	True
BF_SKOR1_Glut.loops.bed	5604307	True
Microglia-3.loops.bed	1779764	True
ACx_MEIS2_GABA.loops.bed	855819	True
