	0	90k_Plus
Glut.hyper.dmr.bed	436442	True
ACx_MEIS2_GABA.hyper.dmr.bed	11951	False
Astrocyte.hyper.dmr.bed	1648492	True
CN_ST18_GABA.hyper.dmr.bed	1064411	True
OPC.hyper.dmr.bed	607616	True
Pericyte.hyper.dmr.bed	489306	True
CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	434207	True
CN_MEIS2_GABA.hyper.dmr.bed	361945	True
BACKGROUND_noGlut.merged.bed	4229161	True
CN_VIP_GABA.hyper.dmr.bed	490263	True
STR_Hybrid_MSN.hyper.dmr.bed	706518	True
STR_D1_MSN.hyper.dmr.bed	1357365	True
CN_LHX8_GABA.hyper.dmr.bed	422579	True
F_GABA.hyper.dmr.bed	843735	True
Oligodendrocyte.hyper.dmr.bed	1812894	True
F_M_GATA3_GABA.hyper.dmr.bed	1033737	True
Microglia.hyper.dmr.bed	1053930	True
Endo.hyper.dmr.bed	470812	True
Lymphocyte.hyper.dmr.bed	222799	True
STR_D2_MSN.hyper.dmr.bed	1283340	True
VLMC.hyper.dmr.bed	426455	True
STR_SST-CHODL_GABA.hyper.dmr.bed	378654	True
F_M_Glut.hyper.dmr.bed	867305	True
CN_Cholinergic_GABA.hyper.dmr.bed	176294	True
CN_ONECUT1_GABA.hyper.dmr.bed	161182	True
SMC.hyper.dmr.bed	62411	False
F_Glut.hyper.dmr.bed	549171	True
M_Dopa.hyper.dmr.bed	266964	True
CN_LAMP5-LHX6_GABA.hyper.dmr.bed	125578	True
OT_Granular_GABA.hyper.dmr.bed	161539	True
SN_PAX7_GABA.hyper.dmr.bed	251540	True
CN_GABA-Glut.hyper.dmr.bed	66078	False
STR_RSPO2_GABA.hyper.dmr.bed	299337	True
