	0	90k_Plus
STR_D1_MSN.hypo.dmr.bed	755220	True
Endo.hypo.dmr.bed	1335176	True
CN_GABA-Glut.hypo.dmr.bed	250983	True
F_M_GATA3_GABA.hypo.dmr.bed	664026	True
ACx_MEIS2_GABA.hypo.dmr.bed	329145	True
OT_Granular_GABA.hypo.dmr.bed	678396	True
BACKGROUND_noGlut.merged.bed	4393688	True
F_M_Glut.hypo.dmr.bed	629620	True
SMC.hypo.dmr.bed	370676	True
STR_Hybrid_MSN.hypo.dmr.bed	1034759	True
CN_LHX8_GABA.hypo.dmr.bed	428939	True
CN_Cholinergic_GABA.hypo.dmr.bed	371481	True
CN_LAMP5-LHX6_GABA.hypo.dmr.bed	509671	True
CN_ONECUT1_GABA.hypo.dmr.bed	351874	True
Microglia.hypo.dmr.bed	1528945	True
Oligodendrocyte.hypo.dmr.bed	897635	True
F_Glut.hypo.dmr.bed	550328	True
CN_MEIS2_GABA.hypo.dmr.bed	524980	True
F_GABA.hypo.dmr.bed	658036	True
CN_LAMP5-CXCL14_GABA.hypo.dmr.bed	732090	True
STR_RSPO2_GABA.hypo.dmr.bed	454384	True
OPC.hypo.dmr.bed	467909	True
M_Dopa.hypo.dmr.bed	436721	True
VLMC.hypo.dmr.bed	1049602	True
Pericyte.hypo.dmr.bed	1026562	True
CN_ST18_GABA.hypo.dmr.bed	734681	True
STR_D2_MSN.hypo.dmr.bed	809379	True
SN_PAX7_GABA.hypo.dmr.bed	411828	True
Astrocyte.hypo.dmr.bed	472597	True
STR_SST-CHODL_GABA.hypo.dmr.bed	540022	True
Lymphocyte.hypo.dmr.bed	1018950	True
Glut.hypo.dmr.bed	905703	True
CN_VIP_GABA.hypo.dmr.bed	696734	True
