	0	90k_Plus
CN_Cholinergic_GABA.loops.bed	5527872	True
F_Glut.loops.bed	4667584	True
CN_ST18_GABA.loops.bed	3811570	True
SN_PAX7_GABA.loops.bed	5902493	True
STR_Hybrid_MSN.loops.bed	3610991	True
SMC.loops.bed	1291630	True
CN_LHX8_GABA.loops.bed	5301852	True
Endo.loops.bed	2739665	True
F_M_GATA3_GABA.loops.bed	4459474	True
CN_MEIS2_GABA.loops.bed	4914546	True
OT_Granular_GABA.loops.bed	4109886	True
Pericyte.loops.bed	3325341	True
F_GABA.loops.bed	4530994	True
M_Dopa.loops.bed	5360062	True
CN_LAMP5-CXCL14_GABA.loops.bed	3726044	True
STR_D1_MSN.loops.bed	3560100	True
_BACKGROUND.merged.bed	8842549	True
F_M_Glut.loops.bed	4436468	True
Astrocyte.loops.bed	2929970	True
VLMC.loops.bed	2716228	True
CN_ONECUT1_GABA.loops.bed	5406128	True
STR_SST-CHODL_GABA.loops.bed	4465194	True
Oligodendrocyte.loops.bed	2932639	True
STR_D2_MSN.loops.bed	3425822	True
STR_RSPO2_GABA.loops.bed	3630655	True
Lymphocyte.loops.bed	1570052	True
Glut.loops.bed	3599847	True
CN_GABA-Glut.loops.bed	4077299	True
CN_VIP_GABA.loops.bed	3118280	True
OPC.loops.bed	3267402	True
BACKGROUND.merged.bed	8842549	True
_BACKGROUND.bed	8842549	True
Microglia.loops.bed	2410358	True
CN_LAMP5-LHX6_GABA.loops.bed	4168894	True
ACx_MEIS2_GABA.loops.bed	881152	True
