CHR_ID	START	END	SNPS	DISEASE/TRAIT	celltype	MAPPED_GENE
chr11	57680559	57680560	rs10896636	Neuroticism	Glut.hyper.dmr.bed	ZDHHC5
chr3	54200694	54200695	rs4485754	Intelligence	Glut.hyper.dmr.bed	CACNA2D3
chr4	67104382	67104383	rs6819372	Intelligence	Glut.hyper.dmr.bed	RNU6-699P - RNU1-63P
chr6	75826615	75826616	rs1280049	Intelligence	Glut.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	Glut.hyper.dmr.bed	MMS22L - MIR2113
chr7	32453556	32453557	rs1580019	Intelligence	Glut.hyper.dmr.bed	PDE1C - SLC25A5P5
chr7	127898505	127898506	rs3757771	Intelligence	Glut.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	Glut.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	Glut.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	Glut.hyper.dmr.bed	EPHA1-AS1
chr1	43548608	43548609	rs2842188	Intelligence	STR_D1_MSN.hypo.dmr.bed	PTPRF
chr1	43668405	43668406	rs3791033	Problematic opioid prescription use	STR_D1_MSN.hypo.dmr.bed	KDM4A
chr1	181771064	181771065	rs199928	Intelligence	STR_D1_MSN.hypo.dmr.bed	CACNA1E
chr1	207803737	207803738	rs7523273	Schizophrenia	STR_D1_MSN.hypo.dmr.bed	MIR29B2CHG
chr10	18462173	18462174	rs1998820	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	CACNB2
chr10	101781258	101781259	rs2735421	Intelligence	STR_D1_MSN.hypo.dmr.bed	FGF8 - NPM3
chr11	57680559	57680560	rs10896636	Neuroticism	STR_D1_MSN.hypo.dmr.bed	ZDHHC5
chr11	61752513	61752514	rs2956395	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	MYRF-AS1
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	STR_D1_MSN.hypo.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	STR_D1_MSN.hypo.dmr.bed	NRGN
chr12	99298228	99298229	rs10860416	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	ANKS1B
chr13	68796168	68796169	rs7999314	Neuroticism	STR_D1_MSN.hypo.dmr.bed	RN7SL761P - LINC00550
chr14	43505793	43505794	rs62002181	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	HNRNPUP1 - KRT8P2
chr15	40430581	40430582	rs11634187	Intelligence	STR_D1_MSN.hypo.dmr.bed	IVD
chr16	9136958	9136959	rs28455634	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	HAPSTR1 - RPL21P119
chr16	28322089	28322090	rs2650492	Intelligence	STR_D1_MSN.hypo.dmr.bed	SBK1
chr17	81108280	81108281	rs7502590	Neuroticism	STR_D1_MSN.hypo.dmr.bed	BAIAP2
chr18	37784133	37784134	rs12961969	Neuroticism	STR_D1_MSN.hypo.dmr.bed	RPL12P40 - RN7SKP182
chr19	44820880	44820881	rs28399637	Alzheimer's disease or family history of Alzheimer's disease	STR_D1_MSN.hypo.dmr.bed	BCAM
chr19	44960128	44960129	rs116949436	Alzheimer's disease or family history of Alzheimer's disease	STR_D1_MSN.hypo.dmr.bed	CLPTM1
chr19	44960140	44960141	rs576651896	Alzheimer's disease or family history of Alzheimer's disease	STR_D1_MSN.hypo.dmr.bed	CLPTM1
chr19	58578895	58578896	rs73068339	Intelligence	STR_D1_MSN.hypo.dmr.bed	MZF1-AS1
chr2	65532536	65532537	rs3911862	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	LINC02934
chr2	100137027	100137028	rs4851251	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	AFF3
chr2	161104413	161104414	rs7591506	Intelligence	STR_D1_MSN.hypo.dmr.bed	TANK-AS1
chr2	165295878	165295879	rs17183814	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	SCN2A
chr2	165295878	165295879	rs17183814	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	SCN2A
