CHR_ID	START	END	SNPS	DISEASE/TRAIT	celltype	MAPPED_GENE
chr1	29961103	29961104	rs1498232	Schizophrenia	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01756 - LINC01648
chr1	36737165	36737166	rs570399	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FTLP18 - GRIK3
chr1	36777141	36777142	rs490647	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FTLP18 - GRIK3
chr1	109424481	109424482	rs10858096	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PSMA5
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr10	80494227	80494228	rs6586028	Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TSPAN14
chr11	60175341	60175342	rs7935829	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MS4A6A
chr11	89140983	89140984	rs10830220	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GRM5 - TYR
chr11	131421833	131421834	rs1550973	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NTM
chr12	32657824	32657825	rs181609621	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FGD4 - DNM1L
chr12	79198899	79198900	rs6539284	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SYT1
chr14	29160249	29160250	rs10483349	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC02327
chr14	36532929	36532930	rs11622558	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NKX2-1-AS1
chr14	54882150	54882151	rs11158026	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GCH1
chr14	74906330	74906331	rs3742785	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RPS6KL1
chr15	47286806	47286807	rs1378214	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SEMA6D
